conversation_id,luhf_tag,escalation,total_turns,user_turns_before_escalation,total_user_turns,nlu_positive_count,nlu_neutral_count,nlu_negative_count,nlg_positive_count,nlg_neutral_count,nlg_negative_count,nlg_neg_intents,last_bot_intent,nlu_trajectory_index,nlg_trajectory_index,composite_trajectory_index,nlu_density_index,composite_density_index,adjusted_composite_index,last_turn_speaker,transfer_assumed_success,escalation_final_turn_proximity,early_escalation_but_luhf,pre_escalation_final4_score,final4_turns_composite_score,final4_score_with_length_penalty
13,not_luhf,escalation,18,6,8,2,4,2,0,10,0,,ask_additional_service,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,-1,-0.4065696597405991
168,luhf,escalation,35,0,16,5,5,6,1,18,0,,ask_time_preference,-1,1,0,-0.0625,0.0,0.0,nlg,False,False,True,0,0,0.0
187,not_luhf,escalation,20,5,9,5,2,2,1,10,0,,confirm_change_schedule,3,1,4,0.3333333333333333,0.2,1.4715177646857693,nlu,True,False,False,0,3,1.103638323514327
289,not_luhf,escalation,27,9,12,5,4,3,0,15,0,,ask_time_preference,2,0,2,0.16666666666666666,0.07407407407407407,0.518480521291783,nlg,False,False,False,1,-1,-0.2592402606458915
388,not_luhf,escalation,18,7,8,3,4,1,0,10,0,,ask_additional_service,2,0,2,0.25,0.1111111111111111,0.8131393194811982,nlg,False,True,False,0,-1,-0.4065696597405991
649,luhf,escalation,28,0,12,3,4,5,1,14,1,disambiguate_user_profile,propose_earliest_time,-2,0,-2,-0.16666666666666666,-0.07142857142857142,-0.49319392788321287,nlg,False,False,True,0,0,0.0
749,luhf,escalation,28,1,12,5,5,2,1,14,1,disambiguate_user_profile,time_asked_unavailable_propose_new,3,0,3,0.25,0.10714285714285714,0.7397908918248193,nlg,False,False,False,0,2,0.49319392788321287
798,luhf,escalation,23,0,10,4,2,4,1,11,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,0,0.0
917,not_luhf,escalation,20,0,9,5,3,1,2,8,1,disambiguate_user_profile,confirm_date_scheduled,4,1,5,0.4444444444444444,0.25,1.8393972058572117,nlu,True,False,False,0,3,1.103638323514327
994,not_luhf,escalation,19,0,8,3,3,2,1,9,1,disambiguate_user_profile,time_asked_unavailable_propose_new,1,0,1,0.125,0.05263157894736842,0.3867410234545012,nlg,False,False,False,0,1,0.3867410234545012
1163,luhf,escalation,29,0,13,6,3,4,1,14,1,disambiguate_user_profile,time_asked_unavailable_propose_new,2,0,2,0.15384615384615385,0.06896551724137931,0.46914057618759525,nlg,False,False,True,0,0,0.0
1281,luhf,escalation,29,0,13,7,3,3,1,14,1,disambiguate_user_profile,propose_date,4,0,4,0.3076923076923077,0.13793103448275862,0.9382811523751905,nlg,False,False,True,0,2,0.46914057618759525
1331,not_luhf,escalation,19,0,9,2,5,2,1,8,1,disambiguate_user_profile,transportation_of_device,0,0,0,0.0,0.0,0.0,nlu,True,False,False,0,-1,-0.3867410234545012
1459,not_luhf,escalation,25,7,12,7,3,2,1,11,1,disambiguate_user_profile,confirm_date_scheduled,5,0,5,0.4166666666666667,0.2,1.4325239843009505,nlu,True,False,False,-1,3,0.8595143905805702
1834,not_luhf,escalation,25,0,11,4,4,3,2,11,1,disambiguate_user_profile,confirm_date_scheduled,1,1,2,0.09090909090909091,0.08,0.5730095937203802,nlg,False,False,False,0,3,0.8595143905805702
1860,luhf,escalation,41,18,19,10,6,3,2,19,1,disambiguate_user_profile,propose_date,7,1,8,0.3684210526315789,0.1951219512195122,1.0298792287024334,nlg,False,True,False,1,-1,-0.12873490358780418
1928,luhf,escalation,20,8,9,4,3,2,0,10,1,disambiguate_user_profile,propose_date,2,-1,1,0.2222222222222222,0.05,0.36787944117144233,nlu,True,True,False,1,0,0.0
2100,not_luhf,escalation,26,0,12,5,3,4,2,11,1,disambiguate_user_profile,confirm_date_scheduled,1,1,2,0.08333333333333333,0.07692307692307693,0.5450635860680252,nlu,True,False,False,0,3,0.8175953791020378
2174,luhf,escalation,21,0,9,2,5,2,1,10,1,disambiguate_user_profile,propose_date,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,0,0.0
2375,luhf,escalation,18,7,8,4,2,2,0,9,1,disambiguate_user_profile,time_asked_unavailable_propose_new,2,-1,1,0.25,0.05555555555555555,0.4065696597405991,nlu,True,True,False,1,0,0.0
2428,not_luhf,escalation,18,5,8,4,1,3,1,7,2,"disambiguate_user_profile,disambiguate_user_profile",confirm_date_scheduled,1,-1,0,0.125,0.0,0.0,nlu,True,False,False,-1,3,1.2197089792217972
2545,not_luhf,escalation,38,9,19,6,10,3,1,17,1,did_not_understand,confirm_date_scheduled,3,0,3,0.15789473684210525,0.07894736842105263,0.4487058576679051,nlu,True,False,False,0,3,0.4487058576679051
2552,luhf,escalation,22,8,9,2,2,5,0,11,2,"disambiguate_user_profile,transportation_type_unavailable",transportation_of_device,-3,-2,-5,-0.3333333333333333,-0.22727272727272727,-1.6643554184903977,nlg,False,True,False,-1,-2,-0.6657421673961591
2739,not_luhf,escalation,20,0,9,4,4,1,2,8,1,disambiguate_user_profile,confirm_date_scheduled,3,1,4,0.3333333333333333,0.2,1.4715177646857693,nlu,True,False,False,0,3,1.103638323514327
2829,luhf,escalation,22,3,10,2,6,2,0,12,0,,ask_additional_service,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,0,0.0
2856,not_luhf,escalation,31,0,15,7,5,3,1,14,1,disambiguate_user_profile,propose_date,4,0,4,0.26666666666666666,0.12903225806451613,0.8489918953069722,nlg,False,False,False,0,2,0.4244959476534861
3277,luhf,escalation,24,3,11,4,4,3,0,11,2,"disambiguate_user_profile,failed_schedule_warning",propose_date,1,-2,-1,0.09090909090909091,-0.041666666666666664,-0.301194211912202,nlu,True,False,False,1,0,0.0
3350,not_luhf,escalation,19,0,8,3,2,3,1,9,1,disambiguate_user_profile,propose_earliest_time,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,1,0.3867410234545012
3409,not_luhf,escalation,23,0,10,4,2,4,1,11,1,disambiguate_user_profile,propose_date,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,0,0.0
3424,luhf,escalation,17,4,7,2,3,2,0,9,1,working_on_previous_request,ask_first_name,0,-1,-1,0.0,-0.058823529411764705,-0.42741493194872665,nlg,False,False,False,-1,1,0.42741493194872665
3506,luhf,escalation,20,0,8,3,3,2,1,9,2,"disambiguate_user_profile,transportation_type_unavailable",propose_earliest_time,1,-1,0,0.125,0.0,0.0,nlg,False,False,True,0,1,0.36787944117144233
3578,not_luhf,escalation,20,0,9,5,2,2,2,8,1,disambiguate_user_profile,confirm_date_scheduled,3,1,4,0.3333333333333333,0.2,1.4715177646857693,nlu,True,False,False,0,3,1.103638323514327
3727,luhf,escalation,33,0,15,7,2,6,1,16,1,disambiguate_user_profile,ask_time_preference,1,0,1,0.06666666666666667,0.030303030303030304,0.19204990862075408,nlg,False,False,True,0,0,0.0
3812,luhf,escalation,46,0,21,10,1,10,1,22,2,"disambiguate_user_profile,asked_date_too_far",ask_time_preference,0,-1,-1,0.0,-0.021739130434782608,-0.1002588437228037,nlg,False,False,True,0,0,0.0
4174,luhf,escalation,21,0,9,4,2,3,1,10,1,disambiguate_user_profile,time_asked_unavailable_propose_new,1,0,1,0.1111111111111111,0.047619047619047616,0.3499377491111553,nlg,False,False,True,0,0,0.0
4301,not_luhf,escalation,19,3,8,4,1,3,1,9,1,disambiguate_user_profile,confirm_date_scheduled,1,0,1,0.125,0.05263157894736842,0.3867410234545012,nlg,False,False,False,1,2,0.7734820469090024
4347,luhf,escalation,30,11,13,3,6,4,0,17,0,,time_asked_unavailable_propose_new,-1,0,-1,-0.07692307692307693,-0.03333333333333333,-0.22313016014842982,nlg,False,False,False,1,0,0.0
4348,luhf,escalation,17,3,8,2,4,2,0,9,0,,ask_desired_service,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,0,0.0
4376,luhf,escalation,19,3,8,3,2,3,0,10,1,disambiguate_user_profile,ask_time_preference,0,-1,-1,0.0,-0.05263157894736842,-0.3867410234545012,nlg,False,False,False,1,-1,-0.3867410234545012
4889,luhf,escalation,39,16,18,5,7,6,0,20,1,no_dates_available,ask_time_preference,-1,-1,-2,-0.05555555555555555,-0.05128205128205128,-0.28454814317302707,nlg,False,True,False,0,-2,-0.28454814317302707
4897,not_luhf,escalation,21,3,9,4,3,2,2,9,1,transportation_type_unavailable,confirm_date_scheduled,2,1,3,0.2222222222222222,0.14285714285714285,1.049813247333466,nlu,True,False,False,1,3,1.049813247333466
4922,not_luhf,escalation,21,3,9,5,2,2,1,10,1,disambiguate_user_profile,propose_date,3,0,3,0.3333333333333333,0.14285714285714285,1.049813247333466,nlu,True,False,False,1,0,0.0
4930,luhf,escalation,25,8,12,3,4,5,0,12,1,disambiguate_user_profile,propose_date,-2,-1,-3,-0.16666666666666666,-0.12,-0.8595143905805702,nlg,False,False,False,0,-1,-0.2865047968601901
4946,not_luhf,escalation,18,0,8,4,2,2,1,8,1,disambiguate_user_profile,propose_earliest_time,2,0,2,0.25,0.1111111111111111,0.8131393194811982,nlu,True,False,False,0,2,0.8131393194811982
4972,not_luhf,escalation,18,0,8,3,3,2,1,8,1,disambiguate_user_profile,propose_date,1,0,1,0.125,0.05555555555555555,0.4065696597405991,nlg,False,False,False,0,1,0.4065696597405991
5268,luhf,escalation,26,0,11,3,3,5,1,12,2,"disambiguate_user_profile,disambiguate_user_profile",time_asked_unavailable_propose_new,-2,-1,-3,-0.18181818181818182,-0.11538461538461539,-0.8175953791020378,nlg,False,False,True,0,0,0.0
5283,luhf,escalation,23,3,10,5,3,2,0,12,1,disambiguate_user_profile,propose_date,3,-1,2,0.3,0.08695652173913043,0.6332735387581063,nlg,False,False,False,1,1,0.31663676937905316
5418,luhf,escalation,24,0,10,4,2,4,1,11,2,"disambiguate_user_profile,did_not_understand",ask_time_preference,0,-1,-1,0.0,-0.041666666666666664,-0.301194211912202,nlg,False,False,True,0,-1,-0.301194211912202
5626,luhf,escalation,21,0,9,3,2,4,1,9,2,"disambiguate_user_profile,disambiguate_user_profile",ask_time_preference,-1,-1,-2,-0.1111111111111111,-0.09523809523809523,-0.6998754982223107,nlg,False,False,True,0,-1,-0.3499377491111553
5747,luhf,escalation,22,8,10,2,6,2,0,12,0,,transportation_of_device,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,-1,-0.33287108369807955
5767,luhf,escalation,21,0,9,4,2,3,1,10,1,disambiguate_user_profile,time_asked_unavailable_propose_new,1,0,1,0.1111111111111111,0.047619047619047616,0.3499377491111553,nlg,False,False,True,0,0,0.0
5803,not_luhf,escalation,27,6,13,7,4,2,0,13,1,disambiguate_user_profile,propose_date,5,-1,4,0.38461538461538464,0.14814814814814814,1.036961042583566,nlu,True,False,False,1,2,0.518480521291783
5850,not_luhf,escalation,18,0,8,4,2,2,1,8,1,disambiguate_user_profile,propose_earliest_time,2,0,2,0.25,0.1111111111111111,0.8131393194811982,nlu,True,False,False,0,2,0.8131393194811982
6000,not_luhf,escalation,25,0,11,5,3,3,2,10,2,"disambiguate_user_profile,working_on_previous_request",confirm_date_scheduled,2,0,2,0.18181818181818182,0.08,0.5730095937203802,nlg,False,False,False,0,1,0.2865047968601901
6129,not_luhf,escalation,19,0,9,5,3,1,2,7,1,disambiguate_user_profile,confirm_date_scheduled,4,1,5,0.4444444444444444,0.2631578947368421,1.933705117272506,nlu,True,False,False,0,3,1.1602230703635035
6256,not_luhf,escalation,22,0,10,5,3,2,1,10,1,disambiguate_user_profile,propose_date,3,0,3,0.3,0.13636363636363635,0.9986132510942387,nlu,True,False,False,0,2,0.6657421673961591
6515,luhf,escalation,17,0,7,3,2,2,1,8,1,disambiguate_user_profile,propose_date,1,0,1,0.14285714285714285,0.058823529411764705,0.42741493194872665,nlg,False,False,True,0,1,0.42741493194872665
6529,luhf,escalation,27,0,13,4,5,4,1,12,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlu,True,False,True,0,-1,-0.2592402606458915
6854,luhf,escalation,36,0,16,5,6,5,1,18,1,transportation_type_unavailable,propose_other_transportation_of_device,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,-2,-0.33059777644317306
6978,not_luhf,escalation,20,0,9,5,2,2,2,8,1,disambiguate_user_profile,confirm_date_scheduled,3,1,4,0.3333333333333333,0.2,1.4715177646857693,nlu,True,False,False,0,3,1.103638323514327
7001,luhf,escalation,24,3,11,2,7,2,0,12,1,disambiguate_user_profile,time_asked_unavailable_propose_new,0,-1,-1,0.0,-0.041666666666666664,-0.301194211912202,nlu,True,False,False,-1,0,0.0
7054,luhf,escalation,33,0,15,9,5,1,1,16,1,disambiguate_user_profile,propose_date,8,0,8,0.5333333333333333,0.24242424242424243,1.5363992689660326,nlg,False,False,True,0,2,0.38409981724150816
7109,not_luhf,escalation,21,2,9,4,3,2,1,10,1,disambiguate_user_profile,confirm_date_scheduled,2,0,2,0.2222222222222222,0.09523809523809523,0.6998754982223107,nlu,True,False,False,1,3,1.049813247333466
7198,not_luhf,escalation,27,0,12,5,2,5,1,13,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,0,0.0
7237,luhf,escalation,24,3,9,3,3,3,0,10,5,"disambiguate_user_profile,transportation_type_unavailable,failed_schedule_warning,no_dates_available,failed_schedule_warning",failed_schedule_warning,0,-5,-5,0.0,-0.20833333333333334,-1.50597105956101,nlg,False,False,False,-1,-1,-0.301194211912202
7304,not_luhf,escalation,27,0,12,5,5,2,2,12,1,disambiguate_user_profile,confirm_date_scheduled,3,1,4,0.25,0.14814814814814814,1.036961042583566,nlg,False,False,False,0,2,0.518480521291783
7444,luhf,escalation,17,6,7,3,2,2,0,9,1,disambiguate_user_profile,inform_schedule_inspection,1,-1,0,0.14285714285714285,0.0,0.0,nlg,False,True,False,1,-1,-0.42741493194872665
7482,luhf,escalation,32,12,15,5,3,7,0,16,1,disambiguate_user_profile,ask_time_preference,-2,-1,-3,-0.13333333333333333,-0.09375,-0.6056895539839662,nlg,False,False,False,0,-1,-0.20189651799465538
7595,luhf,escalation,23,0,10,4,3,3,1,11,1,disambiguate_user_profile,ask_time_preference,1,0,1,0.1,0.043478260869565216,0.31663676937905316,nlg,False,False,True,0,0,0.0
7732,luhf,escalation,17,0,7,3,2,2,1,8,1,disambiguate_user_profile,propose_date,1,0,1,0.14285714285714285,0.058823529411764705,0.42741493194872665,nlg,False,False,True,0,1,0.42741493194872665
7754,not_luhf,escalation,31,0,14,6,5,3,2,13,2,"disambiguate_user_profile,transportation_type_unavailable",confirm_date_scheduled,3,0,3,0.21428571428571427,0.0967741935483871,0.6367439214802291,nlu,True,False,False,0,2,0.4244959476534861
7763,luhf,escalation,21,0,9,4,2,3,1,10,1,disambiguate_user_profile,time_asked_unavailable_propose_new,1,0,1,0.1111111111111111,0.047619047619047616,0.3499377491111553,nlg,False,False,True,0,0,0.0
7996,not_luhf,escalation,18,0,8,3,2,3,1,8,1,disambiguate_user_profile,inform_schedule_inspection,0,0,0,0.0,0.0,0.0,nlg,False,False,False,0,0,0.0
8242,not_luhf,escalation,18,0,8,4,3,1,1,8,1,disambiguate_user_profile,confirm_date_scheduled,3,0,3,0.375,0.16666666666666666,1.2197089792217972,nlu,True,False,False,0,3,1.2197089792217972
8536,luhf,escalation,19,0,8,3,2,3,1,9,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,-1,-0.3867410234545012
8687,luhf,escalation,19,0,8,4,1,3,2,8,1,disambiguate_user_profile,confirm_date_scheduled,1,1,2,0.125,0.10526315789473684,0.7734820469090024,nlg,False,False,True,0,2,0.7734820469090024
9136,not_luhf,escalation,18,3,8,4,2,2,0,9,1,disambiguate_user_profile,propose_date,2,-1,1,0.25,0.05555555555555555,0.4065696597405991,nlu,True,False,False,1,2,0.8131393194811982
9166,not_luhf,escalation,17,0,8,3,1,4,1,7,1,disambiguate_user_profile,propose_other_transportation_of_device,-1,0,-1,-0.125,-0.058823529411764705,-0.42741493194872665,nlu,True,False,False,0,0,0.0
9297,not_luhf,escalation,17,5,8,1,4,3,0,8,1,disambiguate_user_profile,transportation_of_device,-2,-1,-3,-0.25,-0.17647058823529413,-1.28224479584618,nlu,True,False,False,0,-1,-0.42741493194872665
9456,not_luhf,escalation,20,0,9,3,4,2,1,9,1,disambiguate_user_profile,propose_earliest_time,1,0,1,0.1111111111111111,0.05,0.36787944117144233,nlu,True,False,False,0,0,0.0
9863,luhf,escalation,23,0,10,4,2,4,1,11,1,disambiguate_user_profile,time_asked_unavailable_propose_new,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,0,0.0
10075,luhf,escalation,17,0,7,3,2,2,1,8,1,disambiguate_user_profile,propose_earliest_time,1,0,1,0.14285714285714285,0.058823529411764705,0.42741493194872665,nlg,False,False,True,0,1,0.42741493194872665
10174,not_luhf,escalation,25,7,11,4,6,1,1,12,1,disambiguate_user_profile,confirm_date_scheduled,3,0,3,0.2727272727272727,0.12,0.8595143905805702,nlg,False,False,False,0,3,0.8595143905805702
10255,luhf,escalation,27,0,12,5,2,5,1,13,1,disambiguate_user_profile,ask_time_preference,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,0,0.0
10353,luhf,escalation,19,5,8,1,4,3,0,9,2,"disambiguate_user_profile,disambiguate_user_profile",propose_date,-2,-2,-4,-0.25,-0.21052631578947367,-1.5469640938180047,nlg,False,False,False,0,1,0.3867410234545012
10651,luhf,escalation,23,0,10,3,4,3,1,11,1,disambiguate_user_profile,propose_earliest_time,0,0,0,0.0,0.0,0.0,nlg,False,False,True,0,1,0.31663676937905316
10792,luhf,escalation,26,8,11,6,2,3,0,14,1,disambiguate_user_profile,propose_date,3,-1,2,0.2727272727272727,0.07692307692307693,0.5450635860680252,nlg,False,False,False,2,0,0.0
